Salt marshes,Phirkhali,Panchmukhani,Jhilla,Bagmara,Gona,Mayadwip,Chamta,Chandkhali,Goashaba,Arbesi,Khatuajhuri,Harinbhaga,Matla,NetidhoPani,Chottohardi,Herobhanga,Ajmalmari,Dhulibhasani,Chulkati,Thakuran,Saptamukhi,Murganga
Sesuvium portulacastrum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeluropus lagopoides ,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Suaeda maritima ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
Salichornia brachiata,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suaeda nudiflora,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
Tamarix dioica,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Tamarix gallica,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Tamarix troupii,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Trianthema portulacastrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Trianthema triquetra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Heliotrophium curassavicum,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0
